# Glossary in tab-separated format -*- coding: utf-8 -*-
# ---------- 工程 ---------- #
reactor	反应堆
power plant	动力装置
fusion plasma	聚变等离子体
exhaust plasma	排气等离子体
plasma	等离子体
plasma	等体
EMA chamber	EMA 室
magnetohydrodynamic	磁流体动力
magnetic nozzle	磁喷管
reaction mass	工质
Injection	注入
Fusion Fuel Injector	聚变燃料注入器
Fusion Plasma Confinement Unit	聚变等离子体约束组件
Exhaust Mass	排气工质
Exhaust Mass Injector	排气工质注入器
Exhaust Mass Augmentation	排气工质加力
Exhaust Plasma Confinement Unit	排气等离子体约束组件
Fusion Ignition maser	聚变点火脉泽器
Fusion Igniter	聚变点火器
Fusion Controller	聚变控制器
Direct Energy Converter	直接能量转换器
thermophotovoltaic	热光伏
fusion Beta	聚变比压
main engine	主发动机
spool-up	升功率
Power-Up	升功率
power-up	上电
Power Up	启动
Deuterium	氘
Helium-3	氦 3
D2	氘气
He-3	氦 3
LH2	液氢
LO2	液氧
LN2	液氮
H2	氢气
O2	氧气
N2	氮气
CH4	甲烷
Pressurant	增压气体
Valve	活门
Pressurant Tanks Valve	增压气瓶活门
Pressurant Cross Valve	增压气体交输活门
cross-valve	交输活门
Bleed Valve	引气活门
Pressurization Valve	增压活门
Pressurization Drain Valve	增压排放活门
Pressurization Bleed Valve	增压引气活门
H2 Bleed Valve	氢引气活门
relief valve	安全活门
Drain Valve	排放活门
Cryo-Pump	低温泵
vaporizer	蒸发器
Cryo-fluids	低温流体
Propellant	推进剂
Refuel	加注
Quantity	余量
circuit	回路
circuit	电路
Manifold	总管
Refill	补加
section 1	1 区
section 2	2 区
section 3	3 区
section	区
section	区段
Bus	汇流条
Main Bus	主汇流条
EQPT Bus	设备汇流条
BATT Bus	电池汇流条
ESS Bus	重要汇流条
Tie	连接器
Switch	电门
Port Power	港口电源
Energy Storage and Conditioning Unit	储能与调节组件
Superconducting Magnetic Energy Storage Unit	超导磁储能装置
Thermal Control and Cryogenic Unit	热控与低温组件
Thermal Control	热控制
Thermal Control	热控
thermal load	热载荷
Auxiliary Power Units	辅助动力装置
Maneuvering Reaction Units	机动反作用组件
jump-drive	跳跃驱动器
Emergency Cooling System	应急冷却系统
Quenching	失超
Energy Emergency Discharge	应急放电
Orbital Service	轨道勤务
OS	轨勤
Bill of Maintenance	维修工作单
BoM	维修单
Maintenance	维修
repair	修理
Replacement	更换
Enhanced Precision Printing	增强型精密打印
nominal	标称
wear	耗损
service	维护
delayed button	延时按钮
Estimated Time To Failure	预计无故障时间
operation	运行
operation	作业
operation	操作
Purge	吹扫
Purge	吹除
Purge	清除
Purge	净化
Power Balance gauge	功率平衡计
Circuit Breaker	跳开关
Circuit Breaker Tripped	跳开关跳出
Trip	拔出	拔出跳开关
Rearming	重置	按入跳开关
Disconnection	断开	使用火工品强制断开设备的电气连接
pyrotechnical	火工装置	使用了火工装置的
thrust level	推力等级
thruster	推力器
Depressurization	释压
Essential Power Unit	重要电源装置
Crew Module	乘员舱
Water Processing & Storage Unit	水处理与贮存装置
Atmosphere Revitalization Unit	大气再生装置
Pressure Control Unit	气压控制装置
Waste Management Unit	废物管理装置
Water Recycling	水再生
Equalisation Valve	均压活门
Equalization Valve	均压活门
Hatch	舱口
Outer Hatch	外舱口
Inner Hatch	内舱口
Door	舱门
Terminal Gate	廊桥
Hatches Command Lock	舱口指令锁
EM Shield	电磁盾
Crew Module Thermal Unit	乘员舱热控组件
Heat Sink	热沉
Sabatier reactor	萨巴蒂尔反应器
Activation	活化	辐照导致感生放射性
Vessel	容器	反应堆容器
relief pressure	泄压压力
Heat Transfer Fluid	传热流体
O2 bleed valve	氧引气活门
Water Electrolysis Unit	水电解器
habitat	住舱
leak	泄漏
Comms Unit	通信组件
Pressurant tank	增压气瓶
fault	失效
circuit breaker tripped	跳开关跳出
temperature low	低温
temperature high	超温
pressure high	超压
inlet pressure low	入口压低
supply voltage low	供电欠压
MAX INJECTION	极限流量
maximum injection	极限流量
tank	贮箱
tank	气瓶
cross heat exchanger	交输换热器
Thermal Control Unit	热控组件
Radiator wing	散热翼
cryogenic temperature high	低温超限
dose	剂量	辐照剂量
contents low	液位低	贮箱
contents low	余量低	气瓶
Sanitizer	消毒剂
Food Processing Unit	餐饮组件
Food Kit	食品包
Hygiene Unit	卫生组件
